trace,size_kb,block,assoc,policy,hit_rate,miss_rate,cpi,unused_kb,unused_pct,cost,page_faults,compulsory,conflict
A-9_new_1.5.pdf.trc,8,8,4,RR,88.5651,11.4349,5.24,0.00,0.00,0.74,0,1024,46854
A-9_new_1.5.pdf.trc,8,8,4,RND,88.3638,11.6362,5.26,0.00,0.00,0.74,0,1024,47697
A-9_new_1.5.pdf.trc,8,16,4,RR,91.9300,8.0700,5.62,0.00,0.00,0.65,0,512,30675
A-9_new_1.5.pdf.trc,8,16,4,RND,91.7755,8.2245,5.66,0.00,0.00,0.65,0,512,31272
A-9_new_1.5.pdf.trc,8,64,4,RR,94.8088,5.1912,8.33,0.00,0.00,0.58,0,128,18823
A-9_new_1.5.pdf.trc,8,64,4,RND,94.6801,5.3199,8.44,0.00,0.00,0.58,0,128,19293
A-9_new_1.5.pdf.trc,64,8,4,RR,94.3468,5.6532,4.59,0.07,0.09,5.67,0,8185,15485
A-9_new_1.5.pdf.trc,64,8,4,RND,94.0342,5.9658,4.62,0.07,0.09,5.67,0,8185,16794
A-9_new_1.5.pdf.trc,64,16,4,RR,96.3649,3.6351,4.64,0.00,0.00,5.08,0,4096,9952
A-9_new_1.5.pdf.trc,64,16,4,RND,96.1142,3.8858,4.69,0.00,0.00,5.08,0,4096,10921
A-9_new_1.5.pdf.trc,64,64,4,RR,98.2669,1.7331,5.28,0.00,0.00,4.63,0,1024,5303
A-9_new_1.5.pdf.trc,64,64,4,RND,98.1107,1.8893,5.41,0.00,0.00,4.63,0,1024,5873
A-9_new_1.5.pdf.trc,256,8,4,RR,94.8001,5.1999,4.54,122.02,38.61,22.12,0,20115,1657
A-9_new_1.5.pdf.trc,256,8,4,RND,94.7803,5.2197,4.54,122.02,38.61,22.12,0,20115,1740
A-9_new_1.5.pdf.trc,256,16,4,RR,96.7494,3.2506,4.55,90.65,31.70,20.02,0,11191,1371
A-9_new_1.5.pdf.trc,256,16,4,RND,96.7323,3.2677,4.55,90.65,31.70,20.02,0,11191,1437
A-9_new_1.5.pdf.trc,256,64,4,RR,98.6715,1.3285,4.92,35.38,13.43,18.45,0,3546,1304
A-9_new_1.5.pdf.trc,256,64,4,RND,98.6411,1.3589,4.94,35.38,13.43,18.45,0,3546,1415
A-9_new_1.5.pdf.trc,1024,8,4,RR,94.8199,5.1801,4.53,1028.28,83.46,86.24,0,21674,15
A-9_new_1.5.pdf.trc,1024,8,4,RND,94.8195,5.1805,4.53,1028.28,83.46,86.24,0,21674,17
A-9_new_1.5.pdf.trc,1024,16,4,RR,96.7714,3.2286,4.55,913.49,80.98,78.96,0,12463,14
A-9_new_1.5.pdf.trc,1024,16,4,RND,96.7712,3.2288,4.55,913.49,80.98,78.96,0,12463,15
A-9_new_1.5.pdf.trc,1024,64,4,RR,98.7043,1.2957,4.89,747.89,71.23,73.50,0,4714,16
A-9_new_1.5.pdf.trc,1024,64,4,RND,98.7043,1.2957,4.89,747.89,71.23,73.50,0,4714,16
A-9_new_trunk1.trc,8,8,4,RR,87.5543,12.4457,5.31,0.00,0.00,0.74,0,1024,18522
A-9_new_trunk1.trc,8,8,4,RND,87.6950,12.3050,5.29,0.00,0.00,0.74,0,1024,18301
A-9_new_trunk1.trc,8,16,4,RR,91.2568,8.7432,5.73,0.00,0.00,0.65,0,512,12172
A-9_new_trunk1.trc,8,16,4,RND,91.2037,8.7963,5.74,0.00,0.00,0.65,0,512,12249
A-9_new_trunk1.trc,8,64,4,RR,94.7608,5.2392,8.35,0.00,0.00,0.58,0,128,7078
A-9_new_trunk1.trc,8,64,4,RND,94.7055,5.2945,8.40,0.00,0.00,0.58,0,128,7154
A-9_new_trunk1.trc,64,8,4,RR,94.1605,5.8395,4.56,10.99,13.56,5.67,0,7081,2090
